Sicht 7: Digitale Services ;;
;Reifegrad-Mittelwert;Prozentanteil ab Stufe 2
Aken;;
Köthen;1,33;33,33%
Muldestausee;;39%
Osternienburger Land;;38%
Raguhn-Jeßnitz;;
Südliches Anhalt;1,37;35,50%
Zerbst/Anhalt;;
Zörbig;;
Sandersdorf-Brehna;1,7;57%
Hohenmölsen;1,27;27,77%
Lützen;;
Teuchern;;
Allstedt;0,98;28,88%
Arnstein;;28
Eisleben;2,57;60,71%
Gerbstedt;1,04;4,08%
Hettstedt;;
Mansfeld;;
Seegebiet Mansfelder Land;1,06;10,43%
Südharz;;
Bad Dürrenberg;0,571;0,00%
Bad Lauchstädt;1,69;60,87
Braunsbedra;;
Kabelsketal;1,31;18,40%
Landsberg;1,06;6,12%
Leuna;3,24;84,85%
Mücheln (Geiseltal);1,12;23,08%
Petersberg;;
Querfurt;1,5;50%
Salzatal;2,14;66,67%
Schkopau;;
Teutschenthal;1,2;16%
Wettin-Löbejün;1,15;15%
