Sicht 5: Festnetz;;
;Mittelwert Festnetzempfang (Download) in Mbit/s;
Aken;;
Köthen;410;
Muldestausee;379.67;
Osternienburger Land;18,28 Mbit/s;
Raguhn-Jeßnitz;;
Südliches Anhalt;;
Zerbst/Anhalt;;
Zörbig;;
Sandersdorf-Brehna;200;
Hohenmölsen;;
Lützen;;
Teuchern;;
Allstedt;270,52;
Arnstein;;
Eisleben;447,84;
Gerbstedt;310,12;
Hettstedt;;
Mansfeld;;
Seegebiet Mansfelder Land;559,51;
Südharz;;
Bad Dürrenberg;432,14;
Bad Lauchstädt;550,8;
Braunsbedra;399,4;
Kabelsketal;380,81;
Landsberg;400,06;
Leuna;447,67;
Mücheln (Geiseltal);510,38;
Petersberg;;
Querfurt;576,7;
Salzatal;443,2;
Schkopau;;
Teutschenthal;;
Wettin-Löbejün;413,16;
