Sicht 6: Mobilfunk;Mittelwert Mobilfunkempfang;;;
;O2;Vodafone;Telekom;
Aken;;;;
Köthen;-12,39;-18,57;-14,13;
Muldestausee;-13,59;-10,98;-12,3;
Osternienburger Land;-10,23;-4,94;-6,71;
Raguhn-Jeßnitz;;;;
Südliches Anhalt;−12,26;−1,53;−27,21 ;
Zerbst/Anhalt;;;;
Zörbig;;;;
Sandersdorf-Brehna;-98;-90;-85;
Hohenmölsen;;;;
Lützen;;;;
Teuchern;;;;
Allstedt;-86,25;-91,29;-89,58;
Arnstein;;;;
Eisleben;                                                                       −96,95;                                                            −94,03;;
Gerbstedt;-94,89;-100,78;-92,27;
Hettstedt;;;;
Mansfeld;;;;
Seegebiet Mansfelder Land;-87,43;-94,75;-88,16;
Südharz;;;;
Bad Dürrenberg;-90,11;-98,29;-95,93;
Bad Lauchstädt;-88;-91,1;-87,4;
Braunsbedra;;;;
Kabelsketal;-88,72;−96,48;−89,82;
Landsberg;-79,74;-88,46;-80,19;
Leuna;-90,4;-95,99;-81,86;
Mücheln (Geiseltal);-95;-81,4;-90,6;
Petersberg;;;;
Querfurt;-81,7;-69,6;-73,3;
Salzatal;-92,3;-83,6;-86,3;
Schkopau;;;;
Teutschenthal;-129,18;-133,88;-125,16
;
Wettin-Löbejün;−97,32 ;-93,07;−102,46;
